,State,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone),Year
240,Florida,7689964,3588295,377628,977583,2746458,2217993,2017
241,Georgia,3745074,1788755,177791,559237,1219291,1000794,2017
242,Idaho,625135,338425,26933,54416,205361,171683,2017
243,Hawaii,458078,233373,28521,58442,137742,111773,2017
244,Illinois,4808672,2277277,223035,583231,1725129,1426454,2017
245,Indiana,2557299,1232773,125983,301346,897197,738296,2017
246,Iowa,1257505,634509,52144,107961,462891,366664,2017
247,Kansas,1128983,572393,49987,111269,395334,327502,2017
248,Kentucky,1725034,837553,81524,210751,595206,492850,2017
249,Louisiana,1737123,744011,87339,275895,629878,533354,2017
250,Maine,540959,263878,21476,44752,210853,164809,2017
251,Maryland,2207343,1052297,104699,312834,737513,605688,2017
252,Massachusetts,2604954,1223401,111658,317155,952740,745478,2017
253,Michigan,3930017,1856750,189558,471695,1412014,1162080,2017
254,Minnesota,2162211,1106647,89316,192779,773469,614838,2017
