,Year/State,Year/State,Opioid Data,Income Data,Employment Data,Employment Data,Education Data,Education Data,Education Data,Education Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data
,Year,State,Total Opioid Deaths,Median Household Income (in Inflation–Adjusted Dollars),Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Surveyed,No High School Degree,High School Diploma or GED,College Degree or greater,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone)
61,2021,Hawaii,81.5,84857.0,739336,53237,1021687,72211,475986,473490,490080,248069,26631,60199,155181,120635
62,2021,Idaho,196.8,66474.0,937369,30858,1257566,109913,634865,512788,693882,385704,30931,59835,217412,168018
63,2021,Illinois,2941.25,72205.0,6584794,482887,8730697,858004,3902778,3969915,4991641,2300396,240515,594689,1856041,1528037
64,2021,Indiana,2027.0,62743.0,3426897,160040,4559631,426734,2401702,1731195,2680694,1285451,130454,301543,963246,779671
65,2021,Iowa,234.9166667,65600.0,1681087,60198,2137261,142666,1086397,908198,1300467,638989,54496,114021,492961,392932
66,2021,Kansas,353.75,64124.0,1520362,65475,1942133,157422,929684,855027,1159026,574260,53926,112843,417997,347598
67,2021,Kentucky,1860.333333,55573.0,2125669,114655,3077867,369720,1602025,1106122,1785682,850400,91550,217582,626150,509745
68,2021,Louisiana,,,2143567,161765,3117186,415297,1666283,1035606,1783924,756880,96044,285207,645793,547033
69,2021,Maine,482.25,64767.0,708906,34431,1015078,55545,487081,472452,593626,288115,23378,53733,228400,177419
70,2021,Maryland,2560.416667,90203.0,3304168,192275,4273260,380818,1779398,2113044,2355652,1108456,115941,324757,806498,658306
71,2021,Massachusetts,2141.0,89645.0,3865417,255238,4934755,439192,1818572,2676991,2759018,1268347,123694,327491,1039486,787526
72,2021,Michigan,2400.083333,63498.0,4966693,342848,6971895,560298,3523104,2888493,4051798,1875558,202365,471619,1502256,1221831
73,2021,Minnesota,878.3333333,77720.0,3114145,151805,3898742,228847,1693727,1976168,2281033,1122121,101601,203499,853812,663548
74,2021,Mississippi,484.9166667,48716.0,1325864,84002,1968167,265989,1014672,687506,1129611,498803,52635,191413,386760,334983
75,2021,Missouri,1507.666667,61847.0,3107007,142497,4226634,355385,2179769,1691480,2468726,1176418,108954,270371,912983,743280
76,2021,Montana,96.83333333,63249.0,554118,21876,766758,43308,387198,336252,448949,219056,20003,36564,173326,131040
77,2021,Nebraska,,,1053466,27826,1292536,101315,606218,585003,785982,391102,34063,69977,290840,238923
78,2021,Nevada,635.3333333,66274.0,1590604,152875,2192826,281653,1109911,801262,1191380,522193,79604,151899,437684,333295
79,2021,New Hampshire,343.9166667,88465.0,776061,27923,1008318,56080,447161,505077,548026,286604,25947,48658,186817,142107
80,2021,New Jersey,2576.75,89296.0,4914835,395137,6474427,583933,2645844,3244650,3497945,1763645,173007,442676,1118617,915841
81,2021,New Mexico,652.8333333,53992.0,967832,74721,1450549,181594,701289,567666,834007,357938,50975,113738,311356,257954
82,2021,New York,2352.875,74314.0,10138385,883908,13987094,1673580,5491065,6822449,7652666,3268729,395689,1051332,2936916,2365770
83,2021,North Carolina,2973.5,61972.0,5301767,300438,7245632,746487,3239537,3259608,4179632,1976957,181424,527314,1493937,1228467
84,2021,North Dakota,0.0,66519.0,415807,11627,506739,32307,240114,234318,322511,148550,17460,24508,131993,107095
85,2021,Ohio,4537.083333,62262.0,5936933,322494,8117973,670314,4226306,3221353,4832922,2162168,230594,593693,1846467,1504931
86,2021,Oklahoma,365.0833333,55826.0,1917143,112271,2639889,298014,1390576,951299,1547967,731871,80753,187228,548115,454073
87,2021,Oregon,654.0,71562.0,2147998,136281,3030635,246262,1411536,1372837,1702599,806612,82016,165404,648567,479248
88,2021,Pennsylvania,,,6618867,420743,9161945,743284,4442250,3976411,5228956,2449955,242449,606151,1930401,1580153
89,2021,Rhode Island,350.8333333,74008.0,594888,45296,773464,84016,344927,344521,440170,194722,21138,52858,171452,133661
90,2021,South Carolina,1585.833333,59318.0,2507997,139757,3598398,373997,1720561,1503840,2049972,964209,92193,280887,712683,595718
91,2021,South Dakota,37.75,66143.0,466270,12923,590377,41013,291474,257890,356887,175003,16528,29683,135673,107941
92,2021,Tennessee,2829.916667,59695.0,3439821,180846,4814533,494048,2479674,1840811,2770395,1303575,131888,347350,987582,807862
93,2021,Texas,2511.583333,66963.0,14826344,910813,19224688,2808904,8599854,7815930,10796247,5341490,571198,1460497,3423062,2768892
94,2021,Utah,445.75,79449.0,1721142,59693,2010727,137248,942186,931293,1101499,652738,51037,94270,303454,226995
95,2021,Vermont,192.8333333,72431.0,349096,14648,462705,25227,194067,243411,270163,130749,10678,23612,105124,75327
96,2021,Virginia,2094.583333,80963.0,4553835,211324,5942672,511972,2489840,2940860,3331461,1629590,153061,382293,1166517,942665
97,2021,Washington,1418.833333,84247.0,3993077,232094,5401149,413305,2338451,2649393,3022255,1503723,139845,293513,1085174,819693
