Year,State,Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Opioid Deaths
2017,Wisconsin,3089775,107459,901.4166667
2017,Wyoming,301010,15376,44.88888889
2017,Alabama,2207208,128302,0.0
2017,Alaska,389858,28267,92.5
2017,Arizona,3337245,192721,886.8571429
2017,Arkansas,1378801,76495,0.0
2017,California,20064003,1178551,0.0
2017,Colorado,3061921,127259,0.0
2017,Delaware,463756,24300,0.0
2017,District of Columbia,408910,26726,287.8333333
2017,Connecticut,1931298,117360,935.9166667
2017,Florida,10093485,552245,0.0
2017,Georgia,5185489,296040,991.9166667
2017,Idaho,825230,34000,0.0
2017,Hawaii,753340,29762,69.0
2017,Illinois,6660640,407967,2090.083333
2017,Indiana,3346097,158556,0.0
2017,Iowa,1681435,60190,196.0833333
2017,Kansas,1516538,63084,0.0
2017,Kentucky,2106749,115271,0.0
2017,Louisiana,2180136,141608,
2017,Maine,702420,29493,322.9166667
2017,Maryland,3294443,170419,2017.5
2017,Massachusetts,3776331,172091,1911.333333
2017,Michigan,4949724,291020,0.0
2017,Minnesota,3073117,110757,0.0
